지역,단지명,면적,계약년월,계약일,금액,층,건축년도,도로명,해제사유발생일
강원도 강릉시 견소동,송정한신,84.93,202102,2,"18,000",7,1997,경강로2539번길 8,
강원도 강릉시 견소동,송정한신,59.8,202102,5,"14,200",3,1997,경강로2539번길 8,
강원도 강릉시 견소동,송정한신,59.8,202102,5,"13,500",12,1997,경강로2539번길 8,
강원도 강릉시 견소동,송정한신,59.8,202102,8,"15,700",14,1997,경강로2539번길 8,
강원도 강릉시 견소동,송정한신,84.945,202102,9,"19,100",10,1997,경강로2539번길 8,
강원도 강릉시 견소동,송정한신,84.945,202102,9,"19,100",10,1997,경강로2539번길 8,
강원도 강릉시 견소동,송정해변신도브래뉴아파트,84.99,202102,5,"28,900",13,2005,경강로2539번길 22,
강원도 강릉시 견소동,송정해변신도브래뉴아파트,84.99,202102,5,"28,000",8,2005,경강로2539번길 22,
강원도 강릉시 견소동,송정해변신도브래뉴아파트,59.99,202102,6,"18,500",9,2005,경강로2539번길 22,
강원도 강릉시 견소동,송정해변신도브래뉴아파트,84.99,202102,6,"25,000",7,2005,경강로2539번길 22,
강원도 강릉시 견소동,송정해변신도브래뉴아파트,59.99,202102,10,"18,500",10,2005,경강로2539번길 22,
강원도 강릉시 견소동,송정해변신도브래뉴아파트,59.99,202102,15,"19,000",14,2005,경강로2539번길 22,
강원도 강릉시 견소동,송정해변신도브래뉴아파트,84.99,202102,17,"25,700",6,2005,경강로2539번길 22,
강원도 강릉시 견소동,송정해변신도브래뉴아파트,59.99,202102,18,"19,000",10,2005,경강로2539번길 22,
강원도 강릉시 견소동,송정해변신도브래뉴아파트,84.99,202102,20,"28,000",10,2005,경강로2539번길 22,
강원도 강릉시 견소동,송정해변신도브래뉴아파트,84.99,202102,21,"28,200",14,2005,경강로2539번길 22,
강원도 강릉시 교동,강릉교동롯데캐슬1단지,84.9866,202102,17,"32,000",15,2009,화부산로99번길 12,
강원도 강릉시 교동,강릉교동롯데캐슬1단지,163.9852,202102,20,"41,000",12,2009,화부산로99번길 12,
강원도 강릉시 교동,교동1주공,59.89,202102,1,"17,100",6,1999,가작로 78,
강원도 강릉시 교동,교동1주공,59.89,202102,1,"13,000",11,1999,가작로 78,
강원도 강릉시 교동,교동1주공,84.84,202102,5,"23,500",8,1999,가작로 78,
